66	122
67	136
69	150
73	164
78	176
86	188
96	197
107	205
119	207
133	205
145	196
155	185
164	172
169	157
172	142
174	127
175	111
71	107
80	103
90	104
98	106
107	110
125	107
134	103
143	100
152	98
162	101
116	119
116	129
116	140
116	151
108	158
112	159
117	160
122	158
127	157
82	121
88	117
95	117
101	122
94	123
88	123
133	120
139	115
146	114
153	116
147	120
140	121
98	174
106	172
113	170
118	171
123	169
130	171
138	172
130	179
123	183
118	184
113	183
106	180
102	175
113	175
118	175
123	174
135	173
123	175
118	176
113	175
